Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Fri Dec 17 14:15:32 UTC 2021,-90,-11,-58,-92,-11,-80,3672140408,69.0091779906184
Fri Dec 17 14:15:34 UTC 2021,-89,-11,-60,-91,-11,-80,3699520215,74.8085688627057
Fri Dec 17 14:15:37 UTC 2021,-90,-11,-57,-93,-12,-81,3727778952,76.4807064953891
Fri Dec 17 14:15:40 UTC 2021,-89,-11,-60,-92,-14,-77,3754560248,72.8077478894652
Fri Dec 17 14:15:43 UTC 2021,-89,-11,-57,-94,-11,-82,3780075277,68.1365506944291
Fri Dec 17 14:15:46 UTC 2021,-90,-11,-57,-91,-11,-80,3808191319,75.6839389499689
Fri Dec 17 14:15:49 UTC 2021,-90,-11,-59,-77,-20,-54,3831873333,63.7627388221707
Fri Dec 17 14:15:52 UTC 2021,-90,-11,-59,-93,-12,-81,3859971423,76.9640589353331
Fri Dec 17 14:15:55 UTC 2021,-90,-12,-60,-91,-11,-80,3884786193,64.9126505572894
Fri Dec 17 14:15:58 UTC 2021,-90,-11,-59,-92,-11,-81,3909539329,66.0586543753578
Fri Dec 17 14:16:01 UTC 2021,-90,-11,-61,-87,-20,-55,3935221041,69.6418621214504
Fri Dec 17 14:16:04 UTC 2021,-91,-11,-59,-89,-10,-79,3958747131,63.7946668010344
Fri Dec 17 14:16:07 UTC 2021,-90,-10,-60,-90,-10,-79,3982485354,64.9470493378061
Fri Dec 17 14:16:10 UTC 2021,-90,-11,-58,-90,-15,-74,4007106474,66.7063123098652
Fri Dec 17 14:16:13 UTC 2021,-90,-11,-59,-91,-10,-80,4031870958,66.3966457356484
Fri Dec 17 14:16:16 UTC 2021,-90,-12,-58,-91,-10,-81,4054356042,61.3539048628736
Fri Dec 17 14:16:19 UTC 2021,-89,-10,-57,-89,-10,-78,4076669000,60.5101981482747
Fri Dec 17 14:16:22 UTC 2021,-90,-11,-56,-90,-10,-80,4099194723,60.7499097851508
Fri Dec 17 14:16:25 UTC 2021,-90,-11,-60,-93,-10,-83,4122249986,62.5912578757783
Fri Dec 17 14:16:28 UTC 2021,-90,-11,-61,-87,-20,-57,4144296637,59.9642654496783
Fri Dec 17 14:16:31 UTC 2021,-90,-12,-57,-92,-12,-80,4167540162,62.8815512434979
Fri Dec 17 14:16:34 UTC 2021,-91,-11,-59,-95,-11,-83,4190496713,62.6521943721474
Fri Dec 17 14:16:37 UTC 2021,-87,-11,-55,-88,-12,-76,4214123169,63.7058154471819
Fri Dec 17 14:16:40 UTC 2021,-85,-11,-55,-83,-20,-60,4234257943,53.7042550985709
Fri Dec 17 14:16:43 UTC 2021,-91,-12,-58,-89,-10,-78,4256302511,60.2700854218655
Fri Dec 17 14:16:46 UTC 2021,-85,-12,-51,-92,-12,-79,4283315153,73.2628474064973
Fri Dec 17 14:16:48 UTC 2021,-81,-12,-49,-85,-19,-65,4322848807,106.618914042587
Fri Dec 17 14:16:51 UTC 2021,-81,-12,-48,-87,-10,-77,4359522288,99.0292093944665
Fri Dec 17 14:16:54 UTC 2021,-84,-13,-54,-100,-18,-82,4391087424,84.9133893851617
Fri Dec 17 14:16:57 UTC 2021,-79,-10,-53,-140,-20,-120,4415536632,65.4613285193718
Fri Dec 17 14:17:00 UTC 2021,-83,-12,-50,-95,-20,-75,4437200293,58.83451111217
Fri Dec 17 14:17:03 UTC 2021,-84,-12,-49,-92,-12,-79,4474424652,100.870521493585
Fri Dec 17 14:17:06 UTC 2021,-82,-11,-45,-89,-20,-62,4511940282,99.5424395603067
Fri Dec 17 14:17:09 UTC 2021,-74,-11,-40,-84,-20,-61,4550564714,103.763882456647
Fri Dec 17 14:17:12 UTC 2021,-72,-11,-40,-93,-14,-79,4588831124,102.653900085085
Fri Dec 17 14:17:15 UTC 2021,-78,-10,-48,-88,-10,-78,4621132498,87.0647926158993
Fri Dec 17 14:17:18 UTC 2021,-71,-10,-37,-84,-20,-64,4655913911,94.8404190394979
Fri Dec 17 14:17:21 UTC 2021,-83,-10,-53,-88,-10,-78,4687656178,81.6688312303328
Fri Dec 17 14:17:24 UTC 2021,-86,-9,-58,-88,-10,-78,4714774472,72.7446094298544
Fri Dec 17 14:17:27 UTC 2021,-85,-9,-58,-84,-20,-61,4743038736,76.5099893183102
Fri Dec 17 14:17:30 UTC 2021,-93,-11,-61,-86,-10,-76,4757523599,39.7032464948647
Fri Dec 17 14:17:33 UTC 2021,-94,-12,-63,-90,-10,-80,4776434016,51.2152450864714
Fri Dec 17 14:17:36 UTC 2021,-99,-19,-59,-140,-20,-120,4787902848,31.2661694885087
Fri Dec 17 14:17:39 UTC 2021,-105,-19,-60,-99,-16,-82,4793397512,14.8466481290048
Fri Dec 17 14:17:42 UTC 2021,-98,-14,-66,-92,-11,-80,4803870030,28.6218802612381
Fri Dec 17 14:17:45 UTC 2021,-99,-15,-66,-95,-20,-73,4813518648,26.2074694493579
