Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Tue Jan 11 13:50:24 UTC 2022,-93,-8,-66,0,0,0,3442917982,45.93562032934796
Tue Jan 11 13:50:27 UTC 2022,-93,-8,-66,0,0,0,3458945084,43.039022267003745
Tue Jan 11 13:50:30 UTC 2022,-93,-8,-62,0,0,0,3475196886,44.20154021432535
Tue Jan 11 13:50:33 UTC 2022,-92,-8,-62,0,0,0,3491087670,43.19870459537227
Tue Jan 11 13:50:36 UTC 2022,-93,-8,-66,0,0,0,3507334978,44.08020456053414
Tue Jan 11 13:50:39 UTC 2022,-93,-9,-62,0,0,0,3523742572,44.481541884547745
Tue Jan 11 13:50:42 UTC 2022,-92,-9,-65,0,0,0,3538390016,38.546571548249624
Tue Jan 11 13:50:45 UTC 2022,-92,-8,-63,0,0,0,3555145146,45.3442354418111
Tue Jan 11 13:50:48 UTC 2022,-93,-8,-63,0,0,0,3572632798,47.25929535615471
Tue Jan 11 13:50:51 UTC 2022,-92,-8,-65,0,0,0,3590670216,48.54042139268135
Tue Jan 11 13:50:54 UTC 2022,-93,-8,-64,0,0,0,3607307004,44.19136654267703
Tue Jan 11 13:50:57 UTC 2022,-92,-8,-64,0,0,0,3623036004,42.360740617173704
Tue Jan 11 13:51:00 UTC 2022,-92,-8,-66,0,0,0,3638733546,42.331678873743044
Tue Jan 11 13:51:03 UTC 2022,-93,-8,-62,0,0,0,3653761482,40.7149991366856
Tue Jan 11 13:51:06 UTC 2022,-93,-8,-66,0,0,0,3668768446,40.792332340099755
Tue Jan 11 13:51:09 UTC 2022,-92,-8,-64,0,0,0,3683812860,40.452708582050946
Tue Jan 11 13:51:12 UTC 2022,-93,-8,-65,0,0,0,3699257240,41.47005901425769
Tue Jan 11 13:51:15 UTC 2022,-93,-7,-61,0,0,0,3713930150,40.013779886197156
Tue Jan 11 13:51:18 UTC 2022,-93,-8,-65,0,0,0,3729053958,41.0307923185084
Tue Jan 11 13:51:21 UTC 2022,-93,-8,-67,0,0,0,3744496840,41.560275072774594
Tue Jan 11 13:51:24 UTC 2022,-93,-8,-65,0,0,0,3759067886,39.28492045431873
Tue Jan 11 13:51:27 UTC 2022,-93,-7,-66,0,0,0,3775776578,44.150496601260656
Tue Jan 11 13:51:30 UTC 2022,-92,-7,-63,0,0,0,3792218626,41.795117873593284
Tue Jan 11 13:51:33 UTC 2022,-93,-7,-65,0,0,0,3808215768,43.28263775828568
Tue Jan 11 13:51:36 UTC 2022,-93,-8,-62,0,0,0,3823902824,42.31834449702079
Tue Jan 11 13:51:39 UTC 2022,-93,-8,-65,0,0,0,3839378662,42.165649788901085
Tue Jan 11 13:51:42 UTC 2022,-92,-8,-65,0,0,0,3854300240,40.3291777908033
Tue Jan 11 13:51:45 UTC 2022,-92,-7,-65,0,0,0,3870761762,44.59388060259095
Tue Jan 11 13:51:48 UTC 2022,-93,-8,-66,0,0,0,3886794856,43.6344430423267
Tue Jan 11 13:51:51 UTC 2022,-92,-7,-65,0,0,0,3903605412,45.447581831008094
Tue Jan 11 13:51:54 UTC 2022,-92,-7,-65,0,0,0,3918950924,40.10695394104497
Tue Jan 11 13:51:57 UTC 2022,-92,-7,-65,0,0,0,3934754824,43.05286788604175
Tue Jan 11 13:52:00 UTC 2022,-92,-7,-64,0,0,0,3950771440,43.418656391045054
Tue Jan 11 13:52:02 UTC 2022,-93,-7,-66,0,0,0,3967454666,43.933875454412856
Tue Jan 11 13:52:05 UTC 2022,-93,-7,-66,0,0,0,3983559664,43.655188639228044
Tue Jan 11 13:52:08 UTC 2022,-92,-7,-65,0,0,0,3999502878,42.98628772275946
